businessunit,calendarid,calendar,calendarid
businessunit,createdby,systemuser,systemuserid
businessunit,createdonbehalfby,systemuser,systemuserid
businessunit,modifiedby,systemuser,systemuserid
businessunit,modifiedonbehalfby,systemuser,systemuserid
businessunit,organizationid,organization,organizationid
businessunit,parentbusinessunitid,businessunit,businessunitid
businessunit,transactioncurrencyid,transactioncurrency,transactioncurrencyid
appointment,createdby,systemuser,systemuserid
appointment,createdonbehalfby,systemuser,systemuserid
appointment,dow_business,businessunit,businessunitid
appointment,dow_businessgroup,businessunit,businessunitid
appointment,modifiedby,systemuser,systemuserid
appointment,modifiedonbehalfby,systemuser,systemuserid
appointment,owningbusinessunit,businessunit,businessunitid
appointment,owningteam,team,teamid
appointment,owninguser,systemuser,systemuserid
appointment,regardingobjectid,account,
appointment,regardingobjectid,adx_invitation,
appointment,regardingobjectid,bookableresourcebooking,
appointment,regardingobjectid,bookableresourcebookingheader,
appointment,regardingobjectid,bulkoperation,
appointment,regardingobjectid,campaign,
appointment,regardingobjectid,campaignactivity,
appointment,regardingobjectid,cnx_finesseserver,
appointment,regardingobjectid,cnx_servicelayout,
appointment,regardingobjectid,contact,
appointment,regardingobjectid,contract,
appointment,regardingobjectid,docusign_user,
appointment,regardingobjectid,dow_accountmanual,
appointment,regardingobjectid,dow_accountmanualordertemplate,
appointment,regardingobjectid,dow_accountmanualproduct,
appointment,regardingobjectid,dow_accountmanualshipto,
appointment,regardingobjectid,dow_accountmanualsoldto,
appointment,regardingobjectid,dow_accountplan,
appointment,regardingobjectid,dow_attributemappingentity,
appointment,regardingobjectid,dow_casetype,
appointment,regardingobjectid,dow_competitiveanalysis,
appointment,regardingobjectid,dow_county,
appointment,regardingobjectid,dow_financials,
appointment,regardingobjectid,dow_globalsalestargets,
appointment,regardingobjectid,dow_goals,
appointment,regardingobjectid,dow_quantifiedvalueproposition,
appointment,regardingobjectid,dow_reportofcall,
appointment,regardingobjectid,dow_salescontract,
appointment,regardingobjectid,dow_salesregion,
appointment,regardingobjectid,dow_sampleproductlineitem,
appointment,regardingobjectid,dow_state,
appointment,regardingobjectid,entitlement,
appointment,regardingobjectid,entitlementtemplate,
appointment,regardingobjectid,incident,
appointment,regardingobjectid,invoice,
appointment,regardingobjectid,knowledgearticle,
appointment,regardingobjectid,knowledgebaserecord,
