OptionSetName,Option,IsUserLocalized,LocalizedLabelLanguageCode,LocalizedLabel,GlobalOptionSetName,EntityName,RecordCreateDats,RecordCreateJobID,RecordUpdateDats,RecordUpdateJobID,IsUserLocalizedLabel
dow_area,100000000,"",1033,NAA,dow_regionoptionset,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_area,100000001,"",1033,LAA,dow_regionoptionset,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_area,100000002,"",1033,EMEAI,dow_regionoptionset,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_area,100000003,"",1033,APAC,dow_regionoptionset,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
onlinemeetingtype,1,"",1033,Teams Meeting,onlinemeetingtype,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
isonlinemeeting,1,"",1033,Yes,isonlinemeeting,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
isonlinemeeting,0,"",1033,No,isonlinemeeting,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
isregularactivity,1,"",1033,Yes,activitypointer_isregularactivity,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
isregularactivity,0,"",1033,No,activitypointer_isregularactivity,appointment,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920000,"",1033,General - Include,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920001,"",1033,Exclude,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920002,"",1033,Trader/Broker,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920003,"",1033,Competitor,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920004,"",1033,Distributor,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920005,"",1033,Compounder,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920006,"",1033,Internal,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920007,"",1033,Co Producer,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920008,"",1033,Direct,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_channel,179920009,"",1033,Subcontractor,dow_channeltype,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_customerclassification,0,"",1033,Key,dow_customerclassification,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_customerclassification,1,"",1033,Priority,dow_customerclassification,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_customerclassification,2,"",1033,Foundational,dow_customerclassification,account,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_campaignregion,1,"",1033,NAA,dow_regionoptionsetwithglobal,campaign,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_campaignregion,2,"",1033,LAA,dow_regionoptionsetwithglobal,campaign,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_campaignregion,3,"",1033,EMEAI,dow_regionoptionsetwithglobal,campaign,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_campaignregion,4,"",1033,APAC,dow_regionoptionsetwithglobal,campaign,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_campaignregion,5,"",1033,Global,dow_regionoptionsetwithglobal,campaign,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,5,"",1033,Cortana,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,6,"",1033,Direct Line,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,7,"",1033,Microsoft Teams,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,8,"",1033,Direct Line Speech,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,9,"",1033,Email,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
